tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,luce,edison,LECHO_001,,Sweet Luce,0.1785,EUR/kWh,80,fisso,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/edison/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,edison,1-SRKVVA,,WEB Luce,0.145,EUR/kWh,90,fisso,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/edison/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,edison,LESPE_001,,Dynamic Luce,0.012,EUR/kWh,99,PUN,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/edison/luce.html,2026-09-13T10:00:00.000Z
