tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,luce,plenitude,fixa-time-24,,Fixa Time 24,0.1716,EUR/kWh,144,fisso,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/plenitude/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,plenitude,trend,,Trend casa,0.202,EUR/kWh,144,PUN,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/plenitude/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,plenitude,flexi-pertinenze-luce,,Flexi Pertinenze,0.2156,EUR/kWh,144,fisso,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/plenitude/luce.html,2026-09-13T10:00:00.000Z
