tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,mobile,iliad,giga-250,,GIGA 250,11.99,EUR/mese,undefined,,,250,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/iliad/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,iliad,top-230,,TOP 230,9.99,EUR/mese,undefined,,,230,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/iliad/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,iliad,giga-150,,GIGA 150,7.99,EUR/mese,undefined,,,150,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/iliad/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,iliad,voce,,Voce,4.99,EUR/mese,undefined,,,0.04,-1,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/iliad/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,iliad,dati-350,,Dati 350,14.99,EUR/mese,undefined,,,350,0,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/iliad/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,iliad,domotica,,Domotica,1.99,EUR/mese,undefined,,,0.2,50,entrambe,4G,,,,file:///root/workspaces/meno-meno/fixtures/iliad/mobile.html,2026-09-13T10:00:00.000Z
