tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,mobile,skywifi,sky-mobile-start,,Sky Mobile Start,9.95,EUR/mese,undefined,,,150,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/skywifi/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,skywifi,sky-mobile-pro,,Sky Mobile Pro,11.95,EUR/mese,undefined,,,250,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/skywifi/mobile.html,2026-09-13T10:00:00.000Z
Offerta,mobile,skywifi,sky-mobile-ultra,,Sky Mobile Ultra,19.95,EUR/mese,undefined,,,-1,-1,entrambe,5G,,,,file:///root/workspaces/meno-meno/fixtures/skywifi/mobile.html,2026-09-13T10:00:00.000Z
