tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,luce,nen,029748ESFML01XX260911LDDUE000000,,Luce | Due,0.139,EUR/kWh,96,fisso,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/nen/luce.json,2026-09-13T10:00:00.000Z
Offerta,luce,nen,029748ESFML01XX260911LD10X000000,,Luce | Dieci,0.119,EUR/kWh,72,fisso,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/nen/luce.json,2026-09-13T10:00:00.000Z
