tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,luce,enel,enel-fix-web-luce,,Enel Fix Web Luce,0.139,EUR/kWh,144,fisso,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/enel/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,enel,enel-mese-light-luce,,Enel Mese Light Luce,0.145,EUR/kWh,156,fisso,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/enel/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,enel,enel-flex-control-luce,,Enel Flex Control Luce,0.022,EUR/kWh,180,PUN,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/enel/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,enel,enel-drive-luce,,Enel Drive Luce,0.154,EUR/kWh,252,fisso,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/enel/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,enel,enel-move-luce,,Enel Move Luce,0.179,EUR/kWh,168,fisso,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/enel/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,enel,placet-consumer-luce-fissa,,Enel Energia PLACET Fissa Luce Consumer,0.204,EUR/kWh,144,fisso,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/enel/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,enel,placet-consumer-luce-variabile,,Enel Energia PLACET Variabile Luce Consumer,0.05,EUR/kWh,144,PUN,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/enel/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,enel,enel-flex-box,,Enel Flex Box,0.041,EUR/kWh,72,PUN,C,,,,,,,,file:///root/workspaces/meno-meno/fixtures/enel/luce.html,2026-09-13T10:00:00.000Z
