tipo,commodity,operatore_id,codice_offerta,bundle_id,nome_commerciale,prezzo_effettivo,unita_prezzo,quota_fissa_euro_anno,meccanismo_prezzo,green_flag,gb,minuti,tipo_sim,tecnologia,costo_attivazione_euro,durata_mesi,sconto_bundle_euro_anno,url_sorgente,scraped_at
Offerta,luce,engie,energia-vedochiaro,,Energia VedoChiaro,0.008,EUR/kWh,59,PUN,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/engie/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,engie,taaanta-energia-sera-e-relax,,Taaanta Energia Sera & Relax,0.15,EUR/kWh,114,fisso,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/engie/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,engie,energia-puntofisso-12mesi,,Energia PuntoFisso 12 Mesi,0.1862,EUR/kWh,120,fisso,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/engie/luce.html,2026-09-13T10:00:00.000Z
Offerta,luce,engie,benvenuto-in-engie,,Benvenuto in ENGIE,0.0253,EUR/kWh,78,PUN,A,,,,,,,,file:///root/workspaces/meno-meno/fixtures/engie/luce.html,2026-09-13T10:00:00.000Z
